ID_Hogar;P9030;P9010;P9025S2;P9025S1;P1913S5
72476051;3;2;2;1;15
72476131;2;2;2;2;15
72476151;2;1;2;2;30
72476161;2;2;2;2;60
72476171;2;2;2;1;60
72476211;2;2;2;2;0
72476261;1;1;2;2;0
72476281;3;2;1;1;5
72476311;2;2;2;2;40
72476321;2;2;2;1;5
72476351;3;2;2;2;20
72476371;3;1;2;2;0
72476381;2;1;2;2;0
72476391;3;1;2;2;0
72476411;2;1;2;2;0
72476421;2;1;2;2;0
72476431;3;1;2;2;0
72476441;3;1;2;2;0
72476451;3;1;2;2;0
72476461;2;1;2;2;0
72476471;2;1;2;2;0
72476481;2;1;2;2;0
72476491;2;1;2;2;0
72476511;3;1;2;2;0
72476521;2;1;2;2;0
72476531;2;2;1;2;0
72476561;2;1;2;2;0
72476571;3;1;2;2;0
72476581;2;1;2;2;0
72476591;2;1;2;2;0
72476601;3;1;2;2;0
72476621;2;1;2;2;0
72476651;2;1;2;2;0
72476661;3;2;2;2;0
72476671;2;1;2;2;0
72476681;3;1;2;2;10
72476701;2;1;2;2;50
72476711;2;1;2;2;20
72476721;1;1;2;2;7
72476731;3;1;2;2;40
72476751;3;1;2;2;20
72476771;3;1;2;2;15
72476781;3;1;2;2;40
72476791;2;1;2;2;10
72476801;2;1;2;2;10
72476811;2;1;2;2;5
72476831;2;1;2;2;10
72476841;2;1;2;2;8
72476851;2;1;2;2;5
72476861;3;1;2;2;10
72476881;2;1;2;2;20
72476891;3;1;2;2;10
72476911;1;1;2;2;25
72476921;2;1;2;2;20
72476931;2;1;2;2;45
72476941;3;1;2;2;40
72476951;2;1;2;2;15
72476961;2;1;2;2;25
72476971;3;1;2;2;15
72476981;2;1;2;2;0
72476991;3;1;2;2;0
72477001;2;1;2;2;0
72477011;1;1;2;2;0
72477021;3;1;2;2;120
72477031;2;1;2;2;0
72477041;3;1;2;2;0
72477051;2;1;2;2;0
72477061;2;1;2;2;0
72477071;2;1;2;2;1
72477081;3;1;2;2;120
72477091;3;1;2;2;0
72477101;3;1;2;2;0
72477111;3;1;2;2;0
72477121;2;2;2;2;60
72477131;2;1;2;2;0
72477141;3;1;2;2;120
72477151;3;1;2;2;6
72477161;3;1;2;2;10
72477171;4;1;2;2;15
72477181;2;2;2;2;10
72477191;3;1;2;2;8
72477201;2;1;2;2;15
72477211;3;1;2;2;6
72477221;3;2;2;2;10
72477231;2;1;2;2;10
72477251;3;2;2;2;5
72477261;3;1;2;2;10
72477271;3;1;2;1;60
72477281;2;1;2;2;20
72477291;3;1;2;2;10
72477301;2;1;2;2;30
72477301;2;1;2;2;30
72477311;2;1;2;2;20
72477321;3;1;2;2;15
72477331;1;1;2;1;5
72477341;2;1;2;2;20
72477351;3;1;2;2;20
72477361;2;1;2;2;20
72477391;4;1;2;2;15
72477401;3;1;2;2;30
72477411;3;1;2;2;30
72477421;3;1;2;2;15
72477431;4;1;2;2;15
72477441;3;1;2;2;20
72477451;3;1;2;2;15
72477461;2;1;2;2;20
72477471;2;1;2;2;30
72477471;2;1;2;2;60
72477481;2;1;2;2;20
72477491;2;1;2;2;16
72477501;3;1;2;2;15
72477511;2;1;2;2;15
72477521;1;1;2;2;20
72477531;2;2;2;2;20
72477541;2;1;2;2;15
72477551;2;1;2;2;25
72477561;1;1;2;2;20
72477571;2;1;2;2;15
72477581;2;1;2;2;10
72477591;2;2;2;2;15
72477601;2;1;2;2;15
72477621;3;1;2;2;8
72477631;3;2;2;2;20
72477691;3;2;2;2;25
72477701;2;2;1;1;20
72477711;3;2;2;2;15
72477721;2;1;2;2;0
72477731;2;1;2;1;15
72477741;2;1;2;2;20
72477751;3;1;2;1;0
72477771;3;1;2;2;15
72477781;2;2;2;2;15
72477791;1;1;2;1;0
72477811;3;2;2;1;30
72477821;2;1;2;2;0
72477841;2;1;2;2;20
72477851;3;1;2;2;20
72477861;3;1;2;1;15
72477871;2;1;2;2;15
72477881;2;1;2;1;15
72477901;3;1;2;2;0
72477921;3;2;2;1;15
72477931;3;1;2;2;3
72477941;3;1;2;1;5
72477951;3;1;2;2;25
72477961;2;1;2;2;15
72477971;2;1;2;2;8
72477991;3;2;2;1;5
72478001;2;1;2;2;10
72478021;3;2;2;1;10
72478041;2;1;2;2;0
72478061;2;2;2;2;5
72478071;3;1;2;2;5
72478081;2;1;2;2;5
72478091;3;1;2;2;5
72478101;2;1;2;2;5
72478111;1;1;2;2;0
72478121;3;2;2;1;20
72478131;1;1;2;2;60
72478141;2;1;2;2;5
72478151;2;1;2;2;0
72478161;3;1;2;2;30
72478161;3;1;2;2;30
72478171;2;2;1;1;8
72478181;2;1;2;2;0
72478191;2;1;2;2;0
72478201;3;2;2;1;30
72478211;2;1;2;2;5
72478221;2;1;2;2;0
72478231;3;1;2;2;0
72478241;3;1;2;2;30
72478251;2;1;2;2;0
72478261;3;1;2;2;30
72478271;3;1;2;2;0
72478281;2;1;2;2;0
72478291;2;1;2;2;30
72478301;2;1;2;2;0
72478311;2;1;2;2;5
72478321;2;1;2;2;0
72478331;2;1;2;2;0
72478341;3;1;2;2;0
72478351;2;1;2;2;0
72478361;2;1;2;2;0
72478371;3;1;2;2;30
72478381;2;1;2;2;0
72478401;3;1;2;2;0
72478411;3;1;2;2;0
72478421;4;1;2;2;0
72478431;3;1;2;2;30
72478441;3;1;2;2;7
72478451;3;1;2;2;15
72478461;2;1;2;2;30
72478471;3;1;2;2;25
72478481;2;1;2;2;30
72478491;2;1;2;2;20
72478501;2;1;2;2;25
72478511;2;1;2;2;25
72478521;2;1;2;2;30
72478541;3;1;2;2;25
72478551;2;1;2;2;15
72478561;3;1;2;2;20
72478581;3;1;2;2;30
72478591;3;1;2;2;40
72478601;2;1;2;2;30
72478611;2;1;2;2;40
72478621;3;1;2;2;15
72478621;2;1;2;2;25
72478631;2;1;2;2;20
72478641;2;1;2;2;30
72478651;2;1;2;2;15
72478661;3;1;2;2;35
72478671;2;1;2;2;20
72478691;2;1;2;2;15
72478701;2;1;2;2;20
72478711;2;1;2;2;20
72478721;2;1;2;2;25
72478731;3;1;2;2;10
72478741;2;1;2;2;10
72478751;2;1;2;2;15
72478761;2;2;2;1;15
72478771;2;2;2;2;15
72478781;2;2;2;1;15
72478791;2;1;2;2;10
72478801;2;1;2;2;10
72478821;2;1;2;2;10
72478831;2;1;2;2;5
72478841;3;2;2;1;10
72478851;2;1;2;2;3
72478861;4;1;2;2;5
72478871;2;1;2;2;10
72478881;2;1;2;2;5
72478891;3;1;2;2;20
72478901;3;1;2;2;7
72478911;3;1;2;2;8
72478921;2;1;2;2;10
72478931;3;1;2;2;12
72478941;3;1;2;2;10
72478951;2;1;2;2;10
72478961;3;1;2;2;20
72478971;2;1;2;2;5
72478981;3;1;2;2;15
72478991;1;1;2;2;10
72479001;3;1;2;2;20
72479011;2;1;2;2;15
72479031;3;1;2;2;15
72479041;3;2;2;2;10
72479051;1;1;2;2;10
72479061;2;1;2;2;15
72479071;2;1;2;2;5
72479081;2;1;2;2;6
72479091;2;1;2;2;15
72479101;2;1;2;2;16
72479111;2;1;2;1;10
72479121;4;2;2;1;15
72479131;2;1;2;2;15
72479141;2;1;2;1;20
72479151;4;1;2;2;6
72479171;2;1;1;1;10
72479181;2;1;2;2;3
72479191;2;1;2;2;6
72479201;2;2;2;2;25
72479211;2;1;2;1;10
72479221;4;2;2;1;15
72479231;2;1;2;1;20
72479241;3;2;2;2;20
72479251;2;1;2;2;0
72479261;2;1;2;2;0
72479271;2;1;2;2;120
72479281;2;1;2;2;0
72479291;2;1;2;2;0
72479301;3;1;2;2;0
72479311;2;1;2;2;0
72479321;2;1;2;2;0
72479331;2;2;2;1;0
72479341;2;1;2;2;0
72479351;2;1;2;2;0
72479361;3;1;2;2;0
72479371;3;1;2;2;0
72479381;2;1;2;2;0
72479391;2;1;1;2;0
72479401;2;1;2;2;0
72479421;3;1;2;2;0
72479431;2;1;2;2;0
72479441;2;1;2;2;120
72479451;2;1;2;2;30
72479471;2;1;2;2;0
72479481;2;1;2;2;0
72479491;2;1;2;2;0
72479501;2;1;2;2;0
72479511;2;1;2;2;0
72479521;2;1;2;2;0
72479531;2;1;2;2;0
72479541;2;1;2;2;0
72479551;2;1;2;2;0
72479561;2;1;2;2;0
72479571;3;1;2;2;30
72479581;2;1;2;2;20
72479591;2;1;2;2;30
72479601;2;1;2;2;20
72479611;2;1;2;2;19
72479621;2;1;2;2;20
72479631;2;2;2;2;30
72479651;2;1;2;2;0
72479661;2;1;2;2;20
72479671;2;1;2;2;0
72479681;3;1;2;2;8
72479691;2;1;2;2;15
72479701;2;1;2;2;7
72479711;3;1;2;2;10
72479731;1;1;2;2;5
72479741;2;2;2;2;10
72479751;3;1;2;2;15
72479761;2;2;2;2;10
72479771;3;1;2;2;8
72479781;3;1;2;2;3
72479791;2;2;2;2;12
72479801;2;1;2;2;7
72479811;3;1;2;2;20
72479821;2;2;2;2;5
72479831;2;1;2;2;3
72479841;2;1;2;2;2
72479851;3;2;2;2;5
72479851;3;1;2;2;5
72479861;3;1;2;2;6
72479871;3;1;2;2;1
72479891;2;1;2;2;5
72479901;3;2;1;1;10
72479911;2;1;2;2;10
72479921;3;1;2;2;0
72479931;2;1;2;2;15
72479941;2;1;2;2;20
72479951;2;1;2;2;15
72479961;2;1;2;2;15
72479971;2;1;2;2;0
72479981;2;1;2;2;28
72480001;2;1;2;2;0
72480011;2;1;2;2;10
72480021;2;2;2;1;15
72480031;2;1;2;2;25
72480041;3;2;1;1;15
72480051;2;1;2;2;20
72480061;2;1;2;2;0
72480071;2;2;2;1;12
72480081;3;2;2;1;15
72480091;4;2;1;1;30
72480101;2;1;2;1;16
72480111;2;1;2;2;5
72480121;2;2;1;1;25
72480131;2;1;2;1;15
72480141;3;2;2;2;0
72480171;2;1;2;2;25
72480181;3;1;2;2;20
72480191;2;1;2;2;20
72480201;2;1;2;2;0
72480211;2;1;2;2;5
72480221;2;1;2;2;0
72480231;2;1;2;2;10
72480241;3;1;2;2;0
72480251;2;1;2;2;0
72480261;2;1;2;2;0
72480271;1;1;2;2;0
72480301;3;1;2;2;0
72480321;2;1;2;2;0
72480331;2;1;2;2;0
72480341;2;1;2;2;0
72480351;3;1;2;2;0
72480361;2;1;2;2;0
72480371;2;1;2;2;0
72480381;2;1;2;2;0
72480391;2;1;2;2;0
72480401;2;1;2;2;0
72480431;2;1;2;2;15
72480431;2;1;2;2;15
72480441;2;1;2;2;20
72480461;2;1;2;2;20
72480481;3;1;2;2;0
72480491;2;1;2;1;5
72480501;1;1;2;2;0
72480551;2;1;2;2;0
72480561;2;1;2;2;0
72480581;2;1;2;2;20
72480631;2;1;2;2;30
72480641;2;1;2;2;0
72480651;2;1;2;2;15
72480651;2;1;2;2;10
72480661;2;1;2;2;30
72480671;2;1;2;2;20
72480681;4;1;2;2;0
72480691;2;1;2;2;15
72480711;2;1;2;2;5
72480721;2;2;2;2;10
72480731;2;1;2;2;5
72480741;2;2;2;2;15
72480751;2;2;2;2;15
72480771;2;1;2;2;5
72480801;2;1;2;2;10
72480821;2;1;2;2;10
72480831;2;1;2;2;5
72480841;2;1;2;2;10
72480851;2;1;2;2;8
72480861;2;1;2;2;10
72480871;2;1;2;2;10
72480881;2;1;2;2;10
72480901;2;1;2;2;10
72480921;2;1;2;2;10
72480941;2;1;2;2;5
72480951;2;1;2;2;10
72480961;2;1;2;2;5
72480971;2;1;2;2;20
72480981;3;1;2;2;6
72481011;2;1;2;2;20
72481031;2;1;2;2;20
72481051;3;1;2;2;5
72481071;3;1;2;2;6
72481081;2;1;2;2;15
72481101;2;1;2;2;15
72481111;3;1;2;2;20
72481121;2;1;2;2;15
72481141;2;1;2;2;8
72481151;3;2;2;2;8
72481161;1;1;2;2;10
72481171;2;1;2;2;7
72481201;2;1;2;2;20
72481211;1;1;2;2;10
72481221;3;2;2;2;10
72481231;2;1;2;2;15
72481241;2;1;2;2;6
72481241;2;1;2;2;10
72481251;2;1;2;2;30
72481261;2;1;2;2;20
72481271;2;1;2;2;15
72481281;2;1;2;2;15
72481291;3;1;2;2;7
72481301;2;2;2;1;0
72481311;2;1;2;2;15
72481321;2;2;2;2;25
72481341;2;1;2;2;15
72481351;2;2;2;2;20
72481371;1;1;2;2;30
72481381;2;1;2;2;10
72481391;2;1;2;2;15
72481411;3;1;2;1;18
72481411;2;1;2;2;60
72481421;3;1;2;2;5
72481431;2;2;2;2;2
72481441;2;2;2;2;20
72481451;1;1;2;2;20
72481461;2;1;2;2;15
72481471;2;2;2;2;10
72481481;1;2;2;2;30
72481491;1;1;2;2;15
72481501;1;2;2;2;20
72481511;2;1;2;2;10
72481531;2;1;2;2;10
72481541;2;1;2;2;30
72481551;2;1;2;2;60
72481561;2;1;2;1;30
72481581;2;1;2;2;30
72481591;2;1;2;2;60
72481701;2;1;2;2;25
72481711;2;2;2;2;25
72481721;3;2;2;2;10
72481731;3;2;2;2;25
72481741;2;1;2;2;15
72481751;2;2;2;2;20
72481761;2;1;2;2;25
72481771;3;1;2;2;20
72481781;2;1;2;2;15
72481791;2;2;2;2;25
72481801;2;1;2;2;25
72481811;2;1;2;2;25
72481821;2;1;2;2;25
72481831;2;1;2;2;30
72481841;1;1;2;2;25
72481851;2;2;2;2;30
72481861;2;1;2;2;25
72481871;1;1;2;2;25
72481881;2;1;2;2;0
72481891;3;1;2;2;15
72481901;3;1;2;2;8
72481911;2;1;2;2;99
72481941;2;1;2;2;5
72481951;2;1;2;2;0
72481961;3;2;2;2;10
72481971;2;1;2;2;20
72481981;3;1;2;2;10
72481991;2;1;2;2;15
72482001;2;1;2;2;0
72482021;2;1;2;2;20
72482031;3;1;2;2;10
72482041;2;1;2;2;0
72482061;2;1;2;2;0
72482081;2;1;2;2;0
72482091;2;1;2;2;5
72482151;2;1;2;2;0
72482161;2;1;2;2;0
72482181;2;1;2;2;0
72482191;2;1;2;2;10
72482251;2;1;2;2;0
72482261;2;1;2;2;5
72482281;2;1;2;2;0
72482291;2;1;2;2;30
72482301;2;1;2;2;5
72482321;3;1;2;2;5
72482331;2;1;2;1;5
72482341;2;1;2;2;5
72482351;3;1;2;2;15
72482361;2;1;2;2;5
72482391;2;1;2;1;10
72482401;2;1;2;2;10
72482421;3;1;2;2;10
72482431;2;1;2;2;15
72482441;1;1;2;2;10
72482451;2;1;2;2;15
72482471;2;2;2;2;10
72482481;2;1;2;2;5
72482501;2;1;2;2;10
72482531;2;2;2;2;15
72482541;2;1;2;2;10
72482561;2;1;2;2;5
72482571;2;2;2;2;35
72482581;3;1;2;2;60
72482621;2;2;2;2;35
72482641;3;2;2;2;40
72482661;2;1;2;2;30
72482671;2;1;2;2;35
72482681;2;1;2;2;35
72482691;2;1;2;2;35
72482701;1;1;2;2;15
72482711;2;2;2;2;120
72482721;2;1;2;2;0
72482731;3;1;2;1;120
72482751;2;1;2;2;15
72482761;3;2;2;1;35
72482771;3;2;2;2;30
72482781;3;1;2;2;0
72482801;2;2;2;1;5
72482811;2;2;2;2;120
72482821;2;1;2;1;0
72482851;2;1;2;2;25
72482861;2;1;2;1;30
72482871;3;1;2;1;0
72482881;2;1;2;2;38
72482901;2;1;2;2;40
72482911;2;1;2;2;30
72482921;2;1;2;2;38
72482941;3;1;2;2;0
72482951;1;1;2;2;7
72482961;2;2;2;1;15
72482981;3;1;2;2;15
72482991;2;1;2;2;18
72483001;2;2;2;2;25
72483041;2;1;2;2;6
72483051;2;1;2;1;120
72483061;2;1;2;2;120
72483061;2;1;2;2;120
72483071;3;2;2;2;10
72483091;2;2;1;1;15
72483101;1;1;2;2;5
72483111;2;1;2;2;3
72483121;3;1;2;2;40
72483141;2;2;2;2;30
72483151;2;2;2;2;30
72483161;2;1;2;2;40
72483181;2;1;2;1;120
72483201;2;1;2;2;15
72483211;2;1;1;2;120
72483221;2;1;2;1;120
72483231;2;1;2;2;30
72483241;3;2;2;1;99
72483251;3;2;2;1;99
72483281;2;1;2;2;99
72483291;2;2;2;2;15
72483301;2;1;2;2;30
72483311;2;1;2;2;30
72483321;3;1;2;2;40
72483341;2;1;2;2;40
72483351;3;2;2;2;45
72483351;3;2;2;2;45
72483361;3;2;2;2;40
72483371;2;2;2;1;30
72483391;2;2;2;2;8
72483401;2;2;2;2;6
72483411;2;2;2;2;5
72483421;3;2;2;2;8
72483431;3;1;2;2;10
72483441;2;1;2;2;10
72483451;1;2;2;1;10
72483471;2;1;2;1;15
72483481;2;1;2;1;10
72483511;2;1;2;2;10
72483521;2;1;2;2;5
72483551;2;1;2;2;5
72483561;2;1;2;2;30
72483591;2;1;2;2;15
72483601;2;1;2;2;25
72483611;3;1;2;2;15
72483621;2;1;2;2;30
72483631;3;1;2;2;15
72483641;2;1;2;2;5
72483661;1;1;2;2;10
72483671;2;1;2;2;5
72483681;2;1;2;2;5
72483721;2;1;2;1;20
72483731;2;2;2;1;20
72483741;2;1;2;2;30
72483751;3;2;2;2;20
72483761;2;1;2;2;25
72483771;2;1;2;1;25
72483781;2;1;2;2;25
72483811;2;1;2;2;15
72483831;3;1;2;2;60
72483851;2;1;2;2;60
72483871;3;1;2;2;60
72483881;3;1;2;2;60
72483891;3;1;2;2;60
72483901;3;1;2;2;60
72483911;3;1;2;2;60
72483921;2;1;2;2;40
72483931;3;1;2;2;60
72483941;3;2;2;1;60
72483951;2;1;2;2;120
72483961;2;2;2;2;90
72483971;3;1;2;2;120
72483981;2;1;2;2;120
72483991;3;1;2;2;120
72484001;2;1;2;2;90
72484011;2;2;2;2;120
72484021;2;1;2;2;120
72484031;3;1;2;2;999
72484041;2;1;2;2;120
72484051;2;1;2;2;60
72484061;2;2;2;1;999
72484071;3;1;2;2;10
72484081;1;1;2;2;7
72484101;2;1;2;1;20
72484111;2;1;2;2;10
72484121;3;1;2;2;15
72484131;2;1;2;2;0
72484171;2;1;2;1;3
72484181;2;1;2;2;5
72484181;2;1;2;2;5
72484191;2;1;2;2;5
72484201;2;1;2;2;3
72484211;2;1;2;2;2
72484221;1;1;2;2;1
72484231;2;1;2;2;5
72484241;2;1;2;2;5
72484251;2;1;2;2;15
72484261;2;1;2;2;10
72484271;2;1;2;2;5
72484301;2;1;2;2;10
72484311;3;1;2;2;10
72484321;1;1;2;2;20
72484331;2;1;2;2;10
72484351;2;2;2;2;15
72484361;2;2;2;2;15
72484371;2;1;2;2;10
72484381;2;1;2;2;15
72484391;2;2;2;1;10
72484411;2;2;2;1;15
72484421;3;1;2;2;15
72484431;3;1;2;2;15
72484441;1;1;2;2;20
72484451;1;1;2;2;7
72484461;2;1;1;1;20
72484471;2;1;2;2;10
72484481;2;2;2;2;20
72484491;2;1;2;2;15
72484501;2;1;2;2;15
72484511;2;1;2;2;10
72484531;3;1;2;2;25
72484551;3;1;2;2;5
72484561;2;1;2;2;25
72484571;2;1;2;2;15
72484581;2;1;2;2;15
72484591;2;1;2;2;15
72484601;2;1;2;2;8
72484611;2;1;2;2;15
72484621;3;1;2;2;10
72484631;2;1;2;2;35
72484641;3;1;2;2;15
72484651;2;1;2;2;23
72484661;3;1;2;2;12
72484671;3;1;2;2;30
72484681;1;1;2;2;9
72484691;2;1;2;2;20
72484701;1;1;2;2;10
72484711;1;1;2;2;9
72484721;2;1;2;2;25
72484731;3;1;2;2;10
72484741;2;1;2;2;8
72484751;3;1;2;2;20
72484761;2;1;2;2;25
72484771;3;2;2;2;20
72484791;2;1;2;2;25
72484801;2;1;2;2;20
72484811;2;1;2;2;25
72484821;1;1;2;2;20
72484831;2;1;2;2;25
72484841;2;1;2;2;25
72484891;2;1;2;2;0
72484901;2;1;2;2;0
72484901;2;1;2;2;0
72484911;2;2;2;2;0
72484921;2;1;2;2;0
72484931;2;1;2;2;15
72484941;2;1;2;2;5
72484951;2;1;2;2;10
72484961;2;1;2;2;7
72484971;2;1;2;2;10
72484981;2;1;2;2;5
72485001;2;1;2;2;10
72485011;2;1;2;2;10
72485021;3;2;2;2;15
72485031;2;1;2;2;30
72485041;2;1;2;2;10
72485051;2;1;2;2;20
72485061;2;1;2;1;10
72485071;1;1;2;2;20
72485091;2;1;2;2;5
72485101;2;2;2;2;15
72485111;2;2;2;2;20
72485121;2;1;2;2;20
72485131;2;1;2;2;30
