ID_Persona;P6435;P6440;P6460;P8624;P415
724744421;;;;;
724744431;;;;;
724744611;5;2;;;20
724744621;;;;;
724744911;1;;1;1200000;60
724744921;;;;;
724745011;;;;;
724745021;2;;1;2500000;25
724745111;2;;1;3300000;40
724745121;;;;;
724745131;;;;;
724745211;5;2;;;70
724745221;;;;;
724745251;1;;1;480000;60
724745261;5;2;;;70
724745311;5;1;2;;48
724745511;5;2;;;40
724745521;1;;1;350000;50
724745611;;;;;
724745621;1;;2;940000;48
724745711;8;;;;4
724745721;1;;1;5000000;48
724745811;;;;;
724745821;;;;;
724745831;;;;;
724745841;;;;;
724745911;5;2;;;60
724745921;;;;;
724746011;4;2;;;36
724746111;;;;;
724746121;5;2;;;30
724746131;;;;;
724746211;5;2;;;30
724746221;;;;;
724746251;5;2;;;30
724746311;5;2;;;30
724746321;1;;1;750000;30
724746411;;;;;
724746421;;;;;
724746611;;;;;
724746711;;;;;
724746721;5;2;;;60
724746731;;;;;
724746811;;;;;
724746821;1;;1;878000;52
724746831;1;;2;878000;48
724746841;5;2;;;8
724746851;9;;;;8
724746911;5;2;;;4
724746921;4;2;;;50
724746931;2;;2;1632000;60
724747011;5;2;;;77
724747021;;;;;
724747051;8;;;;56
724747061;1;;1;600000;77
724747071;1;;1;400000;72
724747081;5;2;;;48
724747111;2;;1;877000;50
724747121;5;2;;;30
724747131;5;2;;;40
724747141;;;;;
724747151;;;;;
724747161;;;;;
724747211;5;2;;;48
724747221;;;;;
724747231;;;;;
724747311;;;;;
724747321;;;;;
724747331;5;2;;;70
724747341;;;;;
724747411;5;2;;;20
724747611;5;1;2;;40
724747621;;;;;
724747631;;;;;
724747811;;;;;
724748011;4;2;;;12
724748021;2;;1;1500000;12
724748111;5;2;;;5
724748211;1;;2;1200000;12
724748311;1;;1;400000;52
724748321;1;;1;500000;56
724748411;5;2;;;30
724748421;5;2;;;25
724748511;1;;1;1200000;48
724748711;5;2;;;35
724748721;;;;;
724748741;;;;;
724748911;;;;;
724748921;;;;;
724749011;;;;;
724749021;1;;1;300000;72
724749111;;;;;
724749121;5;1;1;;40
724749131;;;;;
724749141;;;;;
724749211;5;2;;;36
724749311;;;;;
724749321;;;;;
724749331;;;;;
724749341;5;2;;;20
724749411;5;2;;;80
724749421;;;;;
724749431;;;;;
724749511;5;2;;;12
724749521;5;2;;;12
724749531;5;2;;;20
724749541;5;2;;;12
724749551;;;;;
724749611;5;2;;;40
724749711;;;;;
724749721;;;;;
724749731;;;;;
724749751;;;;;
724749811;5;2;;;60
724749821;;;;;
724750011;;;;;
724750021;7;;;;30
724750031;;;;;
724750111;3;;1;350000;48
724750121;;;;;
724750151;;;;;
724750161;;;;;
724750211;5;2;;;4
724750221;;;;;
724750231;;;;;
724750311;1;;2;1125000;48
724750321;;;;;
724750331;;;;;
724750411;;;;;
724750421;;;;;
724750431;;;;;
724750441;;;;;
724750511;3;;1;350000;30
724750521;;;;;
724750531;;;;;
724750611;;;;;
724750621;;;;;
724750711;1;;1;400000;60
724750721;;;;;
724750811;5;2;;;54
724750821;;;;;
724750911;5;2;;;48
724750921;5;2;;;48
724750931;;;;;
724750961;5;2;;;3
724751011;5;2;;;54
724751021;5;2;;;80
724751031;;;;;
724751041;;;;;
724751211;1;;2;300000;24
724751221;5;2;;;54
724751311;;;;;
724751321;;;;;
724751331;5;2;;;56
724751411;5;2;;;42
724751421;;;;;
724751511;1;;2;800000;32
724751521;;;;;
724751531;;;;;
724751541;;;;;
724751611;5;2;;;48
724751621;;;;;
724751711;;;;;
724751721;;;;;
724751731;;;;;
724751811;5;2;;;11
724751911;3;;1;300000;7
724751921;7;;;;36
724751931;;;;;
724751941;;;;;
