ID_Persona;P6435;P6440;P6460;P8624;P415
728370321;5;2;;;40
728370331;;;;;
728370411;5;2;;;50
728370421;;;;;
728370431;5;2;;;45
728370441;5;2;;;30
728370451;5;2;;;25
728370511;5;2;;;40
728370611;5;2;;;30
728370621;;;;;
728370711;5;2;;;42
728370721;;;;;
728370811;;;;;
728370821;5;2;;;40
728370831;5;2;;;40
728370841;;;;;
728370851;;;;;
728370911;5;2;;;48
728370921;;;;;
728371011;7;;;;16
728371021;;;;;
728371111;1;;2;870500;48
728371121;;;;;
728371211;5;2;;;50
728371221;;;;;
728371231;5;2;;;20
728371241;5;2;;;25
728371311;5;2;;;20
728371411;5;2;;;42
728371421;;;;;
728371511;5;2;;;48
728371521;;;;;
728371531;5;2;;;40
728371611;5;2;;;48
728371621;;;;;
728371631;;;;;
728371641;;;;;
728371711;7;;;;25
728371721;;;;;
728371811;5;2;;;50
728371821;;;;;
728371911;5;2;;;40
728371921;;;;;
728372011;7;;;;40
728372111;7;;;;48
728372121;;;;;
728372211;5;2;;;45
728372221;;;;;
728372231;5;2;;;30
728372241;;;;;
728372311;;;;;
728372321;;;;;
728372411;5;2;;;40
728372421;5;2;;;21
728372511;5;2;;;48
728372521;;;;;
728372611;7;;;;45
728372621;;;;;
728372631;5;2;;;40
728372641;;;;;
728372651;;;;;
728372711;5;2;;;35
728372721;;;;;
728372811;;;;;
728372911;5;2;;;10
728372921;5;2;;;25
728372931;;;;;
728373011;5;2;;;20
728373111;;;;;
728373121;5;2;;;48
728373131;;;;;
728373211;5;2;;;10
728373411;5;2;;;45
728373421;5;2;;;25
728373511;5;2;;;42
728373521;;;;;
728373611;5;2;;;40
728373621;;;;;
728373711;5;2;;;50
728373721;;;;;
728373731;;;;;
728373741;;;;;
728373751;;;;;
728373811;;;;;
728373821;5;2;;;20
728373831;;;;;
728373841;5;2;;;15
728373851;5;2;;;30
728373911;6;;;;30
728373921;1;;1;2000000;40
728373931;;;;;
728373941;;;;;
728374011;5;2;;;40
728374021;;;;;
728374031;;;;;
728374041;;;;;
728374051;;;;;
728374061;;;;;
728374111;1;;1;300000;30
728374121;;;;;
728374131;;;;;
728374141;;;;;
728374211;;;;;
728374221;;;;;
728374231;;;;;
728374261;;;;;
728374271;;;;;
728374311;5;2;;;42
728374411;5;2;;;30
728374421;;;;;
728374511;;;;;
728374611;1;;1;300000;30
728374621;5;2;;;40
728374631;;;;;
728374711;5;1;1;;40
728374721;;;;;
728375011;1;;1;200000;48
728375021;;;;;
728375211;5;1;1;;30
728375221;;;;;
728375411;5;1;1;;40
728375421;;;;;
728375511;1;;1;400000;40
728375521;;;;;
728375531;;;;;
728375611;5;1;1;;48
728375711;1;;1;720000;63
728375721;;;;;
728375911;5;1;1;;36
728375921;;;;;
728376011;1;;2;900000;48
728376021;;;;;
728376211;5;1;1;;42
728376221;;;;;
728376311;10;;1;900000;48
728376321;;;;;
728376511;;;;;
728376521;5;2;;;25
728376531;5;2;;;30
728376541;5;1;1;;36
728376711;;;;;
728376721;5;2;;;60
728376811;10;;1;450000;48
728376911;5;2;;;48
728377011;5;1;1;;40
728377021;;;;;
728377111;5;1;1;;30
728377121;;;;;
728377311;5;2;;;30
728377321;;;;;
728377411;5;2;;;30
728377421;;;;;
728377511;;;;;
728377521;;;;;
728377531;5;1;1;;35
728377611;5;1;1;;40
728377621;;;;;
728377711;5;2;;;48
728377721;8;;;;24
728377731;;;;;
728377741;2;;1;2000000;48
728377751;1;;1;500000;48
728377811;;;;;
728377911;5;2;;;60
728377921;;;;;
728378011;5;1;1;;40
728378021;;;;;
728378031;;;;;
728378041;5;1;1;;40
728378051;;;;;
728378211;;;;;
728378221;5;2;;;30
728378231;;;;;
728378311;5;2;;;20
728378321;;;;;
728378411;;;;;
728378421;;;;;
728378431;;;;;
728378511;;;;;
728378611;;;;;
728378621;;;;;
728378631;;;;;
728378661;2;;1;2500000;48
728378671;2;;1;2500000;48
728378681;;;;;
728378711;5;2;;;30
728378721;5;2;;;35
728378811;;;;;
728378821;;;;;
728378831;;;;;
728378911;5;2;;;36
728379011;6;;;;60
728379021;;;;;
728379611;;;;;
728379621;;;;;
728379711;5;1;1;;36
728379721;;;;;
728379911;5;2;;;39
728379921;;;;;
728379931;;;;;
728379941;5;2;;;39
728380011;5;2;;;40
728380021;;;;;
728380031;;;;;
728380111;5;2;;;40
728380121;;;;;
728380211;5;2;;;8
728380221;;;;;
728380231;;;;;
728380511;;;;;
728380611;5;2;;;5
728380621;;;;;
728380811;;;;;
728380821;;;;;
728380831;;;;;
728380911;;;;;
728380921;5;2;;;52
728380931;;;;;
728381011;5;2;;;5
728381021;5;2;;;9
728381031;;;;;
728381211;;;;;
728381221;2;;1;2300000;30
728381231;;;;;
728381311;5;2;;;35
728381321;5;2;;;35
728381331;;;;;
728381341;;;;;
728381411;;;;;
728381511;;;;;
728381521;;;;;
728381611;2;;1;4244000;48
728381621;;;;;
728381631;5;2;;;12
728381641;;;;;
728381711;;;;;
728381721;;;;;
728381911;5;2;;;8
728381921;1;;2;1750000;48
728382011;;;;;
728382111;;;;;
728382121;1;;1;980657;48
728382311;;;;;
728382321;5;2;;;40
728382331;;;;;
728382411;;;;;
728382421;;;;;
728382511;;;;;
728382521;;;;;
728382531;;;;;
728382541;5;2;;;20
728382551;;;;;
728382611;5;2;;;48
728382621;;;;;
728382631;5;2;;;8
728382641;;;;;
728382711;;;;;
728382721;;;;;
728382811;3;;1;250000;32
728382821;;;;;
728382911;;;;;
728382921;;;;;
728382931;5;2;;;50
728382941;5;2;;;60
728382951;;;;;
728383011;5;2;;;60
728383021;3;;1;200000;35
728383031;;;;;
728383111;5;2;;;11
728383121;;;;;
728383131;;;;;
728383211;5;2;;;48
728383221;;;;;
728383231;;;;;
728383411;5;2;;;45
728383421;;;;;
728383431;;;;;
728383441;;;;;
728383451;;;;;
728383511;5;2;;;65
728383521;5;2;;;8
728383811;;;;;
728383821;5;2;;;48
728383831;;;;;
728383911;4;1;2;;48
728383921;;;;;
728384011;;;;;
728384021;;;;;
728384031;;;;;
728384061;2;;2;877000;40
728384211;;;;;
728384221;1;;1;2400000;48
728384311;5;2;;;35
728384511;5;2;;;60
728384521;3;;1;480000;50
728384611;;;;;
728384711;3;;1;980000;48
728384721;;;;;
728384731;5;2;;;26
728384741;;;;;
728384761;;;;;
728384811;;;;;
728386011;5;2;;;35
728386021;;;;;
728386211;;;;;
728386221;;;;;
728386411;;;;;
728386421;5;2;;;38
728386511;5;2;;;5
728386521;1;;1;1200000;60
728386531;;;;;
728386611;5;2;;;65
728386621;;;;;
728386911;;;;;
728387011;;;;;
728387021;;;;;
728387031;5;2;;;38
728387211;1;;1;980657;66
728387221;;;;;
728387311;5;1;1;;40
728387321;;;;;
728387331;;;;;
728387341;;;;;
728387351;;;;;
728387511;5;2;;;20
728387521;;;;;
728387611;5;2;;;30
728387711;1;;1;400000;42
728387721;5;1;1;;37
728387731;;;;;
728387811;5;2;;;40
728387821;;;;;
728388011;1;;1;980657;48
728388411;;;;;
728388421;5;2;;;35
728388431;;;;;
728388511;;;;;
728388611;7;;;;40
728388621;;;;;
728388631;;;;;
728388641;;;;;
728388711;5;2;;;42
728388721;;;;;
728388811;5;2;;;70
728388911;;;;;
728389011;;;;;
728389021;5;2;;;48
728389031;;;;;
728389041;;;;;
728389051;;;;;
728389111;;;;;
728389121;5;2;;;42
728389131;;;;;
728389211;1;;2;98;48
728389221;;;;;
728389311;5;2;;;28
728389411;1;;1;824000;28
728389421;;;;;
728389431;1;;1;824000;38
728389511;;;;;
728389521;;;;;
728389611;1;;1;98;48
728389711;;;;;
728389811;;;;;
728389821;;;;;
728389831;;;;;
728389911;;;;;
728389921;;;;;
728390011;;;;;
728390021;;;;;
728390031;;;;;
728390041;;;;;
728390111;;;;;
728390121;;;;;
728390211;;;;;
728390221;;;;;
728390231;;;;;
728390311;;;;;
728390411;;;;;
728390421;;;;;
728390431;;;;;
728390511;;;;;
728390521;1;;1;2500000;6
728390611;4;2;;;48
728390621;2;;1;99;36
728390631;;;;;
728390711;2;;1;3000000;48
728390721;;;;;
728390811;5;2;;;50
728390821;;;;;
728390911;2;;1;3500000;48
728390921;2;;1;2750000;45
728390931;;;;;
728390941;;;;;
728390951;;;;;
728391011;;;;;
728391111;1;;1;1100000;48
728391121;2;;2;1200000;48
728391151;;;;;
728391211;;;;;
728391311;;;;;
728391411;1;;1;700000;8
728391421;1;;2;0;8
728391511;5;2;;;35
728391611;2;;1;98;40
728391621;1;;1;98;40
728391711;5;2;;;45
728391721;;;;;
728391811;;;;;
728391911;1;;1;1500000;8
728392011;1;;2;877000;8
728392111;;;;;
728392211;1;;2;887900;48
728392221;;;;;
728392231;;;;;
728392241;;;;;
728392311;;;;;
728392411;5;2;;;8
728392511;;;;;
728392521;;;;;
728392531;5;2;;;48
728392551;;;;;
728392561;;;;;
728392611;5;2;;;50
728392621;;;;;
728392631;1;;1;828000;49
728392641;5;2;;;9
728392681;;;;;
728392691;;;;;
7283926101;;;;;
728392711;5;2;;;20
728392721;2;;1;987000;48
728392731;;;;;
728392761;;;;;
728392811;5;2;;;50
728392821;;;;;
728392831;;;;;
728392911;;;;;
728392921;;;;;
728392931;;;;;
728392941;;;;;
728392951;;;;;
728392961;;;;;
728392971;;;;;
728393011;5;2;;;56
728393021;;;;;
728393031;;;;;
728393111;;;;;
728393211;1;;1;828000;40
728393311;;;;;
728393411;5;2;;;36
728393421;;;;;
728393431;5;2;;;50
728393441;5;2;;;50
728393511;5;2;;;50
728393521;;;;;
728393611;5;2;;;20
728393711;5;2;;;20
728393721;5;2;;;48
728393811;5;2;;;47
728393821;;;;;
728393831;;;;;
728393841;;;;;
728393851;;;;;
728393861;;;;;
728393911;;;;;
728394011;3;;1;98;45
728394021;5;2;;;50
728394031;;;;;
728394061;;;;;
728394111;;;;;
728394121;;;;;
728394211;5;2;;;56
728394221;;;;;
728394231;;;;;
728394311;5;2;;;25
728394321;;;;;
728394411;;;;;
728394421;;;;;
728394511;;;;;
728394521;;;;;
728394611;1;;2;98;40
728394621;;;;;
728394711;;;;;
728394811;5;1;1;;35
728394821;;;;;
728394911;3;;1;98;42
728394921;5;2;;;54
728394931;;;;;
728395011;1;;1;823000;35
728395021;;;;;
728395031;;;;;
728395111;5;2;;;56
728395121;;;;;
728395211;;;;;
728395221;;;;;
728395231;;;;;
728395241;;;;;
728395261;;;;;
728395311;5;2;;;56
728395321;1;;1;98;45
728395331;10;;1;0;36
728395341;;;;;
728395351;;;;;
728395411;5;2;;;40
728395421;;;;;
728395511;2;;2;450000;45
728395521;;;;;
728395531;;;;;
728395541;;;;;
728395551;;;;;
728395611;;;;;
728395711;1;;1;1200000;48
728395811;4;2;;;40
728395821;;;;;
728395911;2;;2;1800000;48
728396011;2;;2;1800000;48
728396021;;;;;
728396031;;;;;
728396041;;;;;
7283960101;;;;;
728396111;;;;;
728396211;;;;;
728396221;5;2;;;56
728396311;;;;;
728396321;;;;;
728396331;;;;;
728396341;;;;;
728396411;;;;;
728396421;2;;1;99;36
728396431;;;;;
728396511;2;;1;1000000;5
728396521;;;;;
728396611;2;;1;4150000;30
728396711;;;;;
728396721;2;;1;828000;8
728396731;;;;;
728396811;;;;;
728396911;;;;;
728397011;;;;;
728397021;5;2;;;30
728397031;;;;;
728397111;;;;;
728397211;;;;;
728397221;;;;;
728397231;;;;;
728397311;;;;;
728397411;;;;;
728397511;;;;;
728397611;5;2;;;12
728397621;;;;;
728397711;5;2;;;6
728397721;;;;;
728397811;;;;;
728397911;5;2;;;8
728398011;5;2;;;30
728398021;;;;;
728398111;;;;;
728398121;5;2;;;8
728398131;;;;;
728398211;5;2;;;6
728398221;5;2;;;6
728398311;5;2;;;81
728398321;1;;1;150000;81
728398411;5;2;;;12
728398511;;;;;
728398611;;;;;
728398711;;;;;
728398721;;;;;
728398811;1;;1;500000;8
728398821;;;;;
728398911;;;;;
728398921;;;;;
728399011;5;2;;;30
728399111;;;;;
728399121;5;2;;;10
728399131;;;;;
728399211;;;;;
728399221;5;2;;;8
728399231;;;;;
728399311;2;;1;795000;12
728399321;;;;;
728399411;;;;;
728399421;;;;;
728399431;;;;;
728399441;;;;;
728399451;;;;;
728399461;;;;;
728399511;5;2;;;8
728399521;;;;;
728399611;5;2;;;45
728399621;;;;;
728399631;;;;;
728399811;5;2;;;30
728399911;5;2;;;5
728400011;5;2;;;12
728400021;;;;;
728400031;;;;;
728400111;5;2;;;8
728400211;5;2;;;4
728400221;;;;;
728400311;5;2;;;8
728400321;;;;;
728400331;;;;;
728400341;;;;;
728400351;;;;;
728400361;;;;;
728400411;;;;;
728400421;5;2;;;30
728400511;5;2;;;8
728400521;;;;;
728400531;;;;;
728400611;5;2;;;5
728400711;;;;;
728400811;5;2;;;8
728400821;;;;;
728400911;5;2;;;30
728400921;;;;;
728401011;5;2;;;30
728401021;;;;;
728401111;5;2;;;6
728401121;;;;;
728401131;;;;;
728401211;5;2;;;6
728401221;;;;;
728401311;5;2;;;6
728401321;;;;;
728401411;5;2;;;7
728401421;;;;;
728401511;5;2;;;8
728401521;;;;;
728401611;5;2;;;30
728401711;5;2;;;36
728401811;5;2;;;8
728401821;;;;;
728401831;;;;;
728401911;5;2;;;30
728401921;;;;;
728401931;;;;;
728402011;5;2;;;48
728402021;;;;;
728402111;;;;;
728402211;5;2;;;36
728402311;5;2;;;8
728402321;;;;;
728402331;;;;;
728402411;5;2;;;30
728402421;;;;;
728402511;5;2;;;8
728402521;;;;;
728402611;5;2;;;6
728402621;;;;;
728402711;5;2;;;30
728402721;;;;;
728402811;5;2;;;8
728402821;;;;;
728402911;5;2;;;30
728402921;;;;;
728403011;5;2;;;8
728403021;;;;;
728403031;;;;;
728403111;;;;;
728403121;;;;;
728403131;;;;;
728403211;5;2;;;36
728403221;;;;;
728403231;;;;;
728403311;5;2;;;4
728403411;5;2;;;6
728403511;5;2;;;7
728403521;;;;;
728403611;5;2;;;8
728403621;;;;;
728403631;5;2;;;8
728403711;;;;;
728403721;5;2;;;30
728403731;5;2;;;30
728403811;5;2;;;7
728403821;;;;;
728403911;5;2;;;30
728404011;5;2;;;30
728404111;;;;;
728404121;5;2;;;8
728404131;;;;;
728404211;;;;;
728404221;5;2;;;25
728404231;5;2;;;25
728404241;;;;;
728404311;;;;;
728404411;5;2;;;30
728404421;;;;;
728404431;;;;;
728404511;;;;;
728404611;;;;;
728404621;5;2;;;36
728404711;5;2;;;8
728404811;;;;;
728404911;5;2;;;8
728404921;5;2;;;8
728405011;5;2;;;8
728405021;;;;;
728405031;;;;;
728405111;;;;;
728405121;5;2;;;48
728405131;;;;;
728405141;;;;;
728405211;5;2;;;48
728405221;;;;;
728405311;5;2;;;36
728405411;5;2;;;36
728405421;;;;;
728405511;;;;;
728405611;5;2;;;48
728405621;;;;;
728405631;;;;;
728405641;;;;;
728405711;1;;1;877802;8
728405721;;;;;
728405731;;;;;
728405811;5;2;;;36
728405911;5;2;;;7
728405921;;;;;
728406011;;;;;
728406021;5;2;;;48
728406111;5;2;;;30
728406121;;;;;
728406211;2;;2;1000000;40
728406221;;;;;
728406241;;;;;
728406311;5;2;;;48
728406321;1;;1;600000;30
728406331;;;;;
728406411;;;;;
728406421;;;;;
728406431;;;;;
728406511;;;;;
728406611;5;2;;;35
728406621;8;;;;16
728406631;8;;;;4
728406711;5;2;;;50
728406811;5;2;;;60
728406821;;;;;
728406831;5;2;;;60
728406911;5;2;;;16
728406921;5;2;;;40
728406931;9;;;;8
728407011;;;;;
728407021;5;2;;;48
728407111;5;2;;;60
728407121;;;;;
728407131;5;2;;;50
728407211;1;;2;1000000;56
728407311;5;2;;;20
728407321;9;;;;8
728407331;;;;;
728407341;;;;;
728407391;;;;;
728407411;5;2;;;30
728407511;5;2;;;58
728407611;;;;;
728407621;4;2;;;42
728407711;5;2;;;40
728407721;;;;;
728407811;5;2;;;60
728407821;5;2;;;42
728407831;5;2;;;60
728407841;5;2;;;14
728407911;5;2;;;40
728408011;1;;1;1200000;40
728408021;;;;;
728408031;;;;;
728408041;;;;;
728408111;5;2;;;10
728408121;;;;;
728408131;;;;;
728408141;;;;;
728408211;1;;2;800000;40
728408311;;;;;
728408321;5;2;;;48
728408331;5;2;;;20
728408341;5;2;;;18
728408351;;;;;
728408411;1;;1;99;40
728408511;5;2;;;20
728408611;;;;;
728408621;;;;;
728408711;3;;1;600000;4
728408811;;;;;
728408911;;;;;
728408921;5;2;;;10
728408931;;;;;
728408941;;;;;
728408951;5;2;;;40
728409011;5;2;;;21
728409021;7;;;;21
728409031;;;;;
728409061;5;2;;;40
728409111;5;2;;;40
728409121;5;2;;;10
728409211;5;2;;;50
728409221;;;;;
728409311;5;2;;;8
728409321;;;;;
728409411;5;2;;;40
728409421;5;2;;;40
728409431;5;2;;;40
728409441;;;;;
728409451;;;;;
728409461;;;;;
728409471;;;;;
728409511;5;2;;;40
728409521;;;;;
728409531;;;;;
728409541;;;;;
728409551;;;;;
728409611;5;2;;;50
728409621;;;;;
728409711;5;2;;;40
728409721;5;2;;;40
728409811;5;2;;;40
728409911;5;2;;;50
728410011;5;2;;;40
728410111;5;2;;;56
728410211;5;2;;;9
728410311;5;2;;;40
728410321;5;2;;;40
728410331;;;;;
728410341;;;;;
728410411;1;;2;877802;40
728410431;;;;;
728410441;;;;;
728410611;5;2;;;40
728410621;;;;;
728410631;;;;;
728410711;5;2;;;1
728410721;;;;;
728410811;5;2;;;40
728410821;;;;;
728410831;;;;;
728410841;5;2;;;15
728410871;;;;;
728410911;5;2;;;50
728410921;5;2;;;56
728410931;5;2;;;40
728410941;;;;;
728411011;;;;;
728411021;;;;;
728411111;10;;2;500000;40
728411121;5;1;1;;25
728411211;5;2;;;40
728411221;;;;;
728411231;;;;;
728411311;5;2;;;50
728411321;5;2;;;40
728411331;5;2;;;40
728411341;;;;;
728411351;;;;;
728411411;5;2;;;40
728411421;;;;;
728411431;;;;;
728411511;5;2;;;48
728411521;1;;1;900000;56
728411611;1;;1;740000;40
728411711;5;2;;;50
728411721;;;;;
728411731;;;;;
728411741;;;;;
728411811;5;1;2;;8
728411821;;;;;
728411911;6;;;;70
728411921;1;;1;700000;30
728412011;1;;1;1000000;8
728412111;10;;1;700000;42
728412121;;;;;
728412211;5;2;;;30
728412221;5;2;;;40
728412231;10;;1;500000;48
728412311;;;;;
728412321;;;;;
728412411;5;1;2;;50
728412511;5;1;2;;50
728412521;;;;;
728412541;;;;;
728412561;;;;;
728412571;;;;;
728412581;;;;;
728412611;7;;;;30
728412621;;;;;
728412631;;;;;
728412711;;;;;
728412811;;;;;
728412821;1;;1;300000;30
728412831;;;;;
728412911;2;;1;1122160;52
728412921;;;;;
728413011;;;;;
728413021;3;;1;300000;50
728413111;;;;;
728413121;5;2;;;15
728413131;;;;;
728413211;;;;;
728413221;1;;2;1487300;48
728413311;;;;;
728413321;;;;;
728413331;5;2;;;25
728413341;;;;;
728413411;;;;;
728413511;1;;1;785000;40
728413521;5;2;;;50
728413531;;;;;
728413611;5;2;;;35
728413621;;;;;
728413711;5;2;;;45
728413721;;;;;
728413731;;;;;
728413811;;;;;
728413911;5;2;;;60
728414011;;;;;
728414021;;;;;
728414111;5;2;;;26
728414121;5;2;;;26
728414211;1;;1;850000;40
728414221;5;2;;;50
728414311;5;2;;;24
728414411;5;2;;;30
728414421;;;;;
728414511;5;2;;;60
728414521;5;2;;;50
728414611;1;;1;500000;42
728414621;;;;;
728414711;5;2;;;40
728414721;;;;;
728414731;;;;;
728414811;5;2;;;60
728414821;;;;;
728414911;5;2;;;15
728414921;;;;;
728415011;5;2;;;15
728415021;5;2;;;35
728415211;1;;1;280000;48
728415221;1;;1;600000;48
728415311;;;;;
728415321;;;;;
728415411;;;;;
728415421;;;;;
728415511;;;;;
728415521;;;;;
728415531;;;;;
728415611;;;;;
728415711;2;;1;2460000;40
728415721;;;;;
728415811;4;1;1;;40
728415821;;;;;
728415911;;;;;
728416011;1;;1;10000000;45
728416021;1;;1;2500000;45
728416211;;;;;
728416311;5;2;;;30
728416321;;;;;
728416331;5;2;;;30
728416341;5;2;;;30
728416411;1;;2;1400000;48
728416421;1;;1;1300000;50
728416431;1;;2;900000;48
728416611;2;;1;3500000;48
728416621;;;;;
728416711;;;;;
728416811;;;;;
728416821;;;;;
728416911;5;2;;;40
728417011;1;;1;953800;48
728417021;1;;1;953800;60
728417041;;;;;
728417211;4;2;;;53
728417311;1;;1;5200000;60
728417321;1;;2;876000;48
728417411;;;;;
728417421;;;;;
728417431;5;1;1;;40
728417511;;;;;
728417521;1;;1;400000;60
728417611;;;;;
728417621;;;;;
728417631;;;;;
728417641;3;;1;900000;60
728417661;;;;;
728417711;1;;1;987500;40
728417811;5;2;;;48
728417911;6;;;;60
728417921;1;;1;12000000;20
728418011;1;;2;5200000;20
728418021;;;;;
728418111;;;;;
728418211;5;2;;;12
728418221;;;;;
728418231;;;;;
728418241;;;;;
728418311;;;;;
728418321;3;;1;800000;40
728418331;;;;;
728418341;;;;;
728418351;;;;;
728418411;1;;2;6000000;35
728418421;5;2;;;48
728418611;5;1;1;;20
728418711;5;1;1;;24
728418811;1;;1;877803;84
728418821;;;;;
728418911;5;2;;;84
728418921;;;;;
728418931;;;;;
728419011;;;;;
728419111;1;;1;5800000;48
728419121;1;;2;2300000;48
728419211;;;;;
728419221;1;;2;1500000;48
728419212;1;;1;350000;16
728419222;1;;1;1200000;48
728419311;5;2;;;30
728419321;1;;2;877803;90
728419411;4;2;;;48
728419421;1;;1;12800000;45
728419511;;;;;
728419611;;;;;
728419621;4;2;;;8
728419711;5;2;;;48
728419721;;;;;
728419811;1;;1;877803;84
728419821;1;;1;877803;84
728420011;5;2;;;84
728420021;5;2;;;48
728420031;1;;1;1000000;54
728420041;;;;;
728420211;1;;1;877803;60
728420221;1;;2;877803;84
728420231;1;;1;877803;84
728420241;;;;;
728420251;;;;;
728420311;1;;2;877803;48
728420321;;;;;
728420511;;;;;
728420521;;;;;
728420611;1;;1;1700000;72
728420621;;;;;
728420631;;;;;
728420641;;;;;
728420711;;;;;
728420811;;;;;
728420911;5;2;;;56
728420921;5;2;;;56
728420931;;;;;
728421011;;;;;
728421021;5;2;;;8
728421031;;;;;
728421111;1;;1;1400000;48
728421121;5;2;;;60
728421311;5;2;;;21
728421321;;;;;
728421411;;;;;
728421511;5;2;;;40
728421521;;;;;
728421571;;;;;
728421581;;;;;
728421611;;;;;
728421711;;;;;
728421731;5;2;;;32
728421811;5;2;;;25
728421821;5;2;;;25
728421831;5;2;;;40
728421841;;;;;
728421911;5;2;;;18
728421921;;;;;
728421931;;;;;
728421941;;;;;
728422011;5;2;;;35
728422021;5;2;;;21
728422031;;;;;
728422041;;;;;
728422111;5;2;;;30
728422121;5;2;;;50
728422311;5;2;;;10
728422321;5;2;;;40
728422411;;;;;
728422511;;;;;
728422521;5;2;;;50
728422531;;;;;
728422541;;;;;
728422551;;;;;
728422561;;;;;
728422611;;;;;
728422621;;;;;
728422631;5;2;;;72
728422641;;;;;
728422711;;;;;
728422721;5;2;;;30
728422811;5;2;;;2
728422821;;;;;
728422911;1;;2;1100000;48
728422921;;;;;
728422931;;;;;
728423011;5;2;;;72
728423021;;;;;
728423111;5;2;;;30
728423121;;;;;
728423131;;;;;
728423141;;;;;
728423211;;;;;
728423221;;;;;
728423231;;;;;
728423311;5;2;;;40
728423321;5;2;;;30
728423331;8;;;;10
728423341;1;;1;600000;48
728423411;5;2;;;60
728423511;;;;;
728423521;;;;;
728423531;;;;;
728423541;;;;;
728423611;2;;1;4000000;40
728423621;4;1;2;;40
728423631;;;;;
728423711;;;;;
728423721;;;;;
728423731;;;;;
728423741;;;;;
728423751;1;;1;1000000;48
728423811;;;;;
728423821;5;2;;;60
728423911;1;;1;978590;48
728424011;1;;1;350000;56
728424021;;;;;
728424111;;;;;
728424121;1;;1;900000;48
728424131;;;;;
728424141;1;;1;877803;48
728424211;5;2;;;35
728424221;;;;;
728424311;;;;;
728424321;;;;;
728424411;5;2;;;40
728424421;5;1;2;;40
728424511;;;;;
728424521;;;;;
728424531;5;1;2;;48
728424541;;;;;
728424711;1;;1;900000;40
728424721;3;;1;360000;21
728424731;1;;1;1300000;48
728424741;;;;;
728424811;1;;1;980657;44
728424911;1;;1;900000;48
728424921;;;;;
728424931;1;;1;500000;30
728424941;1;;1;950000;48
728425111;6;;;;100
728425121;5;2;;;14
728425131;;;;;
728425211;5;2;;;48
728425221;1;;1;900000;48
728425311;5;2;;;40
728425321;3;;1;600000;50
728425331;;;;;
728425411;6;;;;20
728425421;;;;;
728425511;5;2;;;42
728425521;5;2;;;60
728425531;;;;;
728425541;;;;;
728425611;5;2;;;24
728425621;;;;;
728425631;;;;;
728425811;1;;2;980000;56
728425821;;;;;
728425851;;;;;
728425911;5;2;;;48
728426011;5;2;;;48
728426021;5;2;;;48
728426031;;;;;
728426111;1;;2;980000;48
728426121;5;2;;;36
728426211;1;;1;900000;48
728426221;;;;;
728426231;;;;;
728426241;;;;;
728426251;1;;1;900000;48
728426261;;;;;
728426271;1;;1;900000;48
728426281;1;;1;900000;48
728426311;5;2;;;48
728426321;5;2;;;33
728426411;;;;;
728426421;;;;;
728426431;2;;1;3000000;48
728426441;5;2;;;56
728426511;4;1;2;;48
728426521;;;;;
728426611;1;;2;1000000;48
728426621;;;;;
728426631;1;;2;980000;48
728426711;5;2;;;24
728426721;;;;;
728426731;;;;;
728426741;;;;;
728426811;;;;;
728426821;;;;;
728426911;5;2;;;36
728426921;1;;2;890000;48
728426931;;;;;
728426941;;;;;
728426951;;;;;
728427011;;;;;
728427021;;;;;
728427111;;;;;
728427121;;;;;
728427131;;;;;
728427311;;;;;
728427321;;;;;
728427331;1;;1;2600000;48
728427341;1;;1;900000;60
728427411;1;;1;2100000;48
728427421;;;;;
728427511;1;;2;1700000;80
728427521;;;;;
728427531;;;;;
728427611;;;;;
728427621;;;;;
728427631;;;;;
728427641;;;;;
728427711;;;;;
728427721;1;;1;1800000;48
728427731;1;;1;1800000;48
728427741;;;;;
728427811;5;2;;;40
728427821;;;;;
728427911;;;;;
728427921;;;;;
728428011;1;;1;1100000;48
728428021;;;;;
728428031;;;;;
728428211;;;;;
728428221;;;;;
728428231;;;;;
728428241;;;;;
728428311;;;;;
728428321;2;;1;877123;45
728428611;3;;1;877203;50
728428711;;;;;
728429011;5;2;;;55
728429021;;;;;
728429031;5;2;;;60
728429041;3;;1;675000;45
728429051;5;2;;;5
728429081;;;;;
728429091;;;;;
7284290101;;;;;
728429111;;;;;
728429121;;;;;
728429131;;;;;
728429141;5;2;;;68
728429211;1;;1;800000;48
728429221;5;2;;;18
728429231;1;;1;900000;40
728429311;5;2;;;80
728429321;;;;;
728429411;5;1;2;;50
728429421;;;;;
728429511;1;;1;877803;48
728429521;1;;2;180000;24
728429611;;;;;
728429621;;;;;
728429631;;;;;
728429641;;;;;
728429651;;;;;
728429711;3;;1;877856;42
728429721;;;;;
728429811;5;2;;;55
728429821;;;;;
728429831;;;;;
728430011;;;;;
728430021;8;;;;25
728430111;1;;2;900000;56
728430121;;;;;
728430141;;;;;
728430151;;;;;
728430411;;;;;
728430421;;;;;
728430611;1;;1;877803;48
728430621;;;;;
728430711;5;2;;;60
728430721;8;;;;36
728430811;10;;2;210000;40
728430821;;;;;
728430831;;;;;
728431011;;;;;
728431111;;;;;
728431211;1;;1;877533;50
728431311;1;;1;1100000;48
728431321;8;;;;42
728431331;8;;;;10
728431341;8;;;;10
728431411;1;;1;1520000;48
728431421;1;;1;1100000;48
728431511;1;;1;877532;45
728431521;;;;;
728431811;1;;1;877523;25
728431821;;;;;
728431831;;;;;
728431911;1;;1;1000000;55
728431921;;;;;
728432011;1;;1;877803;60
