ID_Hogar;ID_Persona;EDAD;ETNIA;VIVE_CON_PADRE;VIVE_CON_MADRE;EDUCACION_PADRES;ESCUELA_OFICIAL;UBICACION_ESCUELA;ORIGEN_SUBSIDIO_EDUC;ESTUDIA;VALOR_BECA;TRANSPORTE_ESCUELA;TIEMPO_TRANSPORTE_ESC;EDAD_CUIDADOR;ACT1;ACT2;ACT3;ACT4;ACT5;ACT6;ACT7;NO_ACT;AFILIADO_SALUD;ESTADO_SALUD;ENFERMEDAD_CRONICA;INCAP;HORAS_TRABAJO;ACTIVIDAD_ULT_SEMANA;TRABAJO1;TRABAJO2;TRABAJO3;TRABAJO4;LUGAR_TRABAJO;PERCAPITA;CANT_PERSONAS_HOGAR;INCRESOS_AUTOPERCIBIDOS_HOGAR;CONDIC_VIDA_HOGAR;ACTIVIDADES;TRABAJA;Actividades_p;Salud_p;SATISFACCION
72473931;724739331;12;6.0;2;1;3.0;3;1;;1.0;1;4;10;38;;;;;;;1;;1.0;2.0;2;32;;;;;;;;705934.333333333;3.0;1.0;2.0;1.0;;7.0;18.0;25.0
72473971;724739731;7;6.0;2;1;1.0;1;1;;1.0;1;4;10;;;;;;;;1;;2.0;2.0;2;32;0;3.0;0;0;0;2;0;256250.0;4.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
72474031;724740331;6;6.0;1;1;;1;1;;1.0;1;4;10;;;;;;1;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;610111.111111111;3.0;2.0;2.0;2.0;0.0;13.0;18.0;31.0
72474161;724741641;9;6.0;2;2;2.0;1;1;;1.0;1;4;10;;;;;;1;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;202500.0;4.0;2.0;3.0;2.0;0.0;13.0;18.0;31.0
72474171;724741731;7;6.0;1;1;;1;1;;1.0;1;4;10;;;;;;1;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;128888.888888889;3.0;1.0;2.0;2.0;0.0;13.0;27.0;40.0
72474181;724741831;11;5.0;1;1;;1;1;;1.0;1;4;5;;;;1;;;;;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;350000.0;4.0;1.0;2.0;1.0;0.0;7.0;27.0;34.0
72474231;724742341;12;6.0;2;1;1.0;1;1;;1.0;1;4;5;;;;;;;;1;;1.0;2.0;2;32;;;;;;;;150000.0;4.0;1.0;2.0;1.0;;7.0;18.0;25.0
72474241;724742431;9;6.0;2;1;1.0;1;1;;1.0;1;4;5;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;140750.0;5.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72474331;724743371;10;6.0;1;1;;1;1;;1.0;1;4;20;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;161428.571428571;7.0;2.0;3.0;1.0;0.0;7.0;18.0;25.0
72474401;724744021;7;5.0;3;1;1.0;1;2;;1.0;1;4;5;;;;;;;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;363645.833333333;4.0;1.0;3.0;1.0;0.0;7.0;27.0;34.0
72474421;724744231;10;5.0;1;2;1.0;1;2;;1.0;1;4;5;;;;;;;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;150000.0;6.0;1.0;3.0;1.0;0.0;7.0;27.0;34.0
72474421;724744241;9;5.0;1;2;0.0;1;2;;1.0;1;4;5;;;;;;;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;150000.0;6.0;1.0;3.0;1.0;0.0;7.0;27.0;34.0
72474431;724744321;9;5.0;2;1;2.0;1;2;;1.0;1;4;10;;;;;;;;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;115000.0;2.0;1.0;3.0;1.0;0.0;7.0;27.0;34.0
72474511;724745141;6;6.0;2;1;4.0;3;1;;1.0;1;4;10;;;;;;1;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;959791.666666667;4.0;1.0;2.0;2.0;0.0;13.0;18.0;31.0
72474521;724745231;10;6.0;1;1;;1;1;;1.0;1;1;15;;;;;;;;1;;1.0;2.0;2;30;0;3.0;0;0;0;2;0;330000.0;6.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72474611;724746131;12;6.0;2;2;0.0;1;1;;1.0;1;2;10;;;;;;;1;1;;2.0;2.0;2;32;;;;;;;;43333.3333333333;5.0;1.0;2.0;2.0;;13.0;18.0;31.0
72474611;724746141;6;6.0;1;2;0.0;1;1;;1.0;1;4;10;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;43333.3333333333;5.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
72474631;724746331;11;5.0;1;1;;1;1;;1.0;1;1;5;;;;;1;1;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;742500.0;4.0;2.0;2.0;3.0;0.0;18.0;18.0;36.0
72474631;724746341;9;5.0;1;1;;3;1;;1.0;1;3;5;;;;;;1;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;742500.0;4.0;2.0;2.0;3.0;0.0;18.0;18.0;36.0
72474641;724746431;11;5.0;2;1;2.0;1;1;;1.0;1;4;5;;;;;1;1;1;;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;120866.666666667;5.0;2.0;3.0;3.0;0.0;18.0;18.0;36.0
72474641;724746441;8;5.0;2;1;2.0;1;1;;1.0;1;4;5;;;;;;1;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;120866.666666667;5.0;2.0;3.0;3.0;0.0;18.0;18.0;36.0
